id	importance	Feature ID	Taxon	Fruitbody_type_template	primary_lifestyle
SH1076932.10FU_AF444417_refs	0.0559021904825636	SH1076932.10FU_AF444417_refs	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Tausonia;s__Tausonia_pullulans	none	soil_saprotroph
SH1382505.10FU_EF567995_refs	0.04580984911788	SH1382505.10FU_EF567995_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_albicans	none	nectar/tap_saprotroph
SH1382655.10FU_AB049123_refs	0.0315854137712308	SH1382655.10FU_AB049123_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_dubliniensis	none	nectar/tap_saprotroph
SH1303804.10FU_AF444469_refs	0.0293805660262241	SH1303804.10FU_AF444469_refs	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_victoriae	not reported	soil_saprotroph
SH1088860.10FU_UDB011614_refs	0.0247710652313753	SH1088860.10FU_UDB011614_refs	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Trametes;s__Trametes_versicolor	polyporoid	wood_saprotroph
SH1083429.10FU_AF444329_refs	0.0226579550394145	SH1083429.10FU_AF444329_refs	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Cystofilobasidiaceae;g__Cystofilobasidium;s__Cystofilobasidium_macerans	none	litter_saprotroph
SH1213238.10FU_MT185527_refs	0.0220741224804375	SH1213238.10FU_MT185527_refs	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Neoascochyta;s__Neoascochyta_dactylidis	not reported	plant_pathogen
SH1334767.10FU_KT160857_reps	0.021011665339833	SH1334767.10FU_KT160857_reps	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp		
SH1082298.10FU_UDB011831_refs	0.0209670275317004	SH1082298.10FU_UDB011831_refs	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricus;s__Agaricus_bisporus	agaricoid	soil_saprotroph
SH1242807.10FU_JQ867380_reps	0.0200458969883563	SH1242807.10FU_JQ867380_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Meyerozyma;s__Meyerozyma_guilliermondii	none	epiphyte
SH1334520.10FU_HG937035_reps	0.0193449758296244	SH1334520.10FU_HG937035_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectriaceae_gen_Incertae_sedis;s__Nectriaceae_sp		
SH1087625.10FU_AB072229_refs	0.0192417809053219	SH1087625.10FU_AB072229_refs	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Itersonilia;s__Itersonilia_pannonica	none	plant_pathogen
SH1371697.10FU_AY328915_refs	0.0164594451503461	SH1371697.10FU_AY328915_refs	k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales;f__Wallemiaceae;g__Wallemia;s__Wallemia_sebi	none	unspecified_saprotroph
SH1195977.10FU_KF010171_reps	0.0159515687332308	SH1195977.10FU_KF010171_reps	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_niger	not reported	unspecified_saprotroph
SH1392891.10FU_MZ666341_reps	0.0158114440623732	SH1392891.10FU_MZ666341_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Geotrichum;s__Geotrichum_candidum	none	nectar/tap_saprotroph
SH1242852.10FU_AY821840_refs	0.0155702536301582	SH1242852.10FU_AY821840_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Kurtzmaniella;s__Kurtzmaniella_sp	none	nectar/tap_saprotroph
SH1393052.10FU_KT758093_reps	0.0153662716920878	SH1393052.10FU_KT758093_reps	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp		
SH1429283.10FU_JX159653_reps	0.0147178533240828	SH1429283.10FU_JX159653_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycopsidaceae;g__Saccharomycopsidaceae_gen_Incertae_sedis;s__Saccharomycopsidaceae_sp		
SH1339598.10FU_KJ507660_reps	0.0142726880505473	SH1339598.10FU_KJ507660_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycodaceae;g__Hanseniaspora;s__Hanseniaspora_uvarum	none	nectar/tap_saprotroph
SH1329982.10FU_AF144483_refs	0.0138273070575794	SH1329982.10FU_AF144483_refs	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Mrakia;s__Mrakia_frigida	none	unspecified_saprotroph
